no_of_adults,no_of_children,no_of_weekend_nights,no_of_week_nights,required_car_parking_space,lead_time,arrival_year,arrival_month,arrival_date,repeated_guest,no_of_previous_cancellations,no_of_previous_bookings_not_canceled,avg_price_per_room,no_of_special_requests,Booking_ID_encoded,type_of_meal_plan_encoded,room_type_reserved_encoded,market_segment_type_encoded,booking_status_encoded
2,0,1,4,0,34,2018,2,17,0,0,0,66.0,1,10484,0,0,3,1
2,0,0,2,0,68,2017,9,29,0,0,0,65.0,0,10485,0,0,3,1
2,0,1,0,0,82,2018,6,26,0,0,0,96.3,1,10486,0,0,4,1
2,0,0,3,0,36,2018,4,27,0,0,0,113.1,0,10487,0,0,4,0
2,0,2,2,0,48,2018,10,15,0,0,0,173.7,2,10488,1,3,4,1
2,0,2,0,0,25,2018,12,25,0,0,0,152.0,0,10489,1,3,4,0
2,0,2,2,0,37,2018,12,2,0,0,0,74.8,1,10490,3,0,4,1
2,0,0,1,0,0,2017,10,6,0,0,0,136.0,1,10491,0,3,4,1
2,1,0,1,0,13,2018,4,8,0,0,0,119.0,2,10492,0,0,4,1
2,0,1,2,0,0,2018,7,25,0,0,0,161.0,0,10493,0,0,4,1
1,0,0,1,0,24,2018,2,24,0,0,0,85.0,2,10494,0,0,4,1
2,1,0,1,0,162,2018,7,27,0,0,0,121.5,2,10495,0,0,4,0
1,0,0,1,0,7,2018,9,20,0,0,0,143.0,3,10496,0,0,4,1
3,0,1,4,0,122,2018,6,13,0,0,0,150.45,2,10497,0,3,4,1
2,0,1,1,0,128,2018,11,26,0,0,0,79.2,0,10498,3,0,4,0
2,0,1,2,0,115,2018,9,23,0,0,0,96.33,1,10499,3,0,4,1
2,0,1,5,0,94,2018,3,28,0,0,0,110.75,1,10500,1,0,3,1
2,0,0,3,0,276,2018,9,22,0,0,0,116.33,0,10501,0,0,3,0
3,0,0,4,0,22,2018,11,16,0,0,0,130.9,3,10502,0,3,4,1
1,0,1,2,0,3,2018,2,1,1,0,9,67.0,0,10503,0,0,2,1
2,0,0,2,1,25,2018,8,3,0,0,0,160.0,1,10504,0,0,4,1
1,0,0,5,0,22,2018,11,15,0,0,0,48.5,1,10505,3,0,4,1
2,0,1,3,0,24,2018,2,25,0,0,0,59.5,0,10506,0,0,3,1
2,0,1,4,0,187,2018,9,12,0,0,0,152.15,2,10507,1,0,4,0
2,2,1,1,0,19,2018,12,26,0,0,0,174.0,1,10508,0,5,4,1
2,0,2,1,0,148,2018,5,29,0,0,0,114.3,0,10509,0,0,4,0
2,0,0,2,0,26,2018,8,30,0,0,0,122.0,2,10510,0,0,4,1
2,0,0,3,0,226,2018,10,25,0,0,0,102.76,0,10511,1,0,3,0
2,0,0,2,0,186,2018,7,28,0,0,0,96.3,1,10512,0,0,4,0
2,0,2,1,0,73,2018,4,3,0,0,0,76.5,1,10513,3,0,4,1
2,0,1,3,0,139,2018,11,7,0,0,0,171.9,1,10514,0,0,4,1
3,0,2,5,0,165,2018,8,13,0,0,0,137.34,0,10515,0,0,4,0
1,0,0,1,0,21,2018,5,10,0,0,0,94.5,1,10516,0,0,4,1
2,1,2,4,0,115,2018,8,20,0,0,0,165.3,1,10517,0,3,4,1
3,0,1,1,0,193,2018,8,22,0,0,0,189.0,1,10518,1,3,4,0
2,0,0,2,0,320,2018,8,18,0,0,0,115.0,1,10519,1,0,3,0
1,0,0,2,0,164,2017,10,2,0,0,0,100.0,0,10520,0,0,3,0
1,0,0,3,0,37,2018,10,13,0,0,0,95.0,0,10521,0,0,3,1
2,0,2,3,0,50,2018,1,24,0,0,0,58.94,1,10522,0,0,4,1
2,0,2,1,0,41,2018,3,13,0,0,0,85.67,0,10523,0,0,2,1
1,0,1,2,0,114,2018,7,1,0,0,0,75.0,0,10524,0,0,3,0
2,0,0,2,0,17,2017,10,16,0,0,0,48.0,0,10525,0,0,3,1
2,0,0,2,0,39,2017,8,14,0,0,0,109.0,0,10526,1,0,3,1
2,0,1,3,0,210,2017,10,8,0,0,0,72.75,0,10527,0,0,3,1
1,0,1,5,0,349,2018,10,4,0,0,0,80.0,0,10528,0,0,3,0
2,0,2,4,0,21,2018,11,13,0,0,0,88.4,1,10529,0,0,4,1
2,0,2,2,0,6,2018,11,13,0,0,0,91.0,3,10530,0,0,4,1
2,0,1,4,0,41,2018,8,31,0,0,0,123.3,2,10531,0,3,4,1
2,0,2,1,0,2,2018,9,18,0,0,0,194.0,1,10532,0,3,4,1
2,0,0,1,0,110,2017,7,23,0,0,0,98.2,1,10533,1,1,3,1
2,0,0,2,0,67,2018,4,22,0,0,0,90.95,1,10534,0,3,3,1
2,0,0,2,0,256,2018,6,15,0,0,0,115.0,1,10535,1,0,3,0
2,0,0,3,0,137,2018,5,5,0,0,0,105.3,0,10536,0,0,4,0
2,0,1,3,0,12,2018,8,15,0,0,0,141.0,2,10537,0,0,4,1
3,0,1,2,0,36,2018,4,15,0,0,0,203.02,2,10538,0,6,4,1
2,0,0,4,0,21,2017,9,1,0,0,0,105.0,0,10539,0,0,4,1
2,0,2,2,0,4,2018,12,25,0,0,0,95.2,1,10540,0,3,4,1
2,1,1,2,0,109,2018,8,5,0,0,0,143.7,1,10541,0,3,4,1
2,1,1,0,1,5,2018,11,20,0,0,0,0.0,2,10542,0,3,1,1
2,0,0,1,0,11,2018,11,5,0,0,0,130.0,1,10543,0,0,4,0
1,0,1,0,0,6,2018,2,1,1,3,1,86.0,0,10544,0,0,4,1
2,0,2,0,0,61,2017,10,4,0,0,0,91.0,0,10545,0,0,3,1
1,0,2,1,0,116,2018,2,28,0,0,0,76.0,0,10546,0,0,3,1
3,0,0,2,0,73,2018,9,6,0,0,0,168.3,2,10547,0,3,4,1
1,0,2,7,0,35,2018,12,7,0,0,0,79.2,0,10548,3,0,4,0
1,0,1,5,0,22,2017,9,1,0,0,0,95.0,2,10549,0,0,4,1
2,0,2,1,0,150,2018,1,2,0,0,0,101.0,0,10550,1,0,3,1
2,0,1,2,0,187,2018,10,7,0,0,0,108.9,3,10551,0,0,4,1
1,0,1,0,0,36,2018,10,16,0,0,0,107.1,1,10552,0,0,4,0
2,0,0,1,0,0,2017,8,27,0,0,0,122.0,2,10553,0,0,4,1
2,0,0,1,0,0,2018,8,20,0,0,0,139.0,1,10554,3,0,4,1
2,0,0,3,0,50,2018,3,29,0,0,0,75.0,0,10555,0,0,3,1
1,0,1,0,0,5,2017,9,14,0,0,0,65.0,0,10556,0,0,2,1
1,0,0,1,0,15,2018,10,22,0,0,0,65.0,0,10557,0,0,2,1
2,0,2,3,0,12,2018,12,10,0,0,0,89.59,1,10558,0,0,4,1
1,0,0,1,0,0,2017,8,11,0,0,0,114.0,1,10559,0,0,4,1
3,0,2,2,0,211,2018,10,21,0,0,0,121.55,1,10560,0,3,4,0
2,0,2,1,0,282,2017,10,10,0,0,0,76.67,0,10561,0,0,3,1
1,0,0,3,0,166,2018,11,1,0,0,0,110.0,0,10562,0,0,3,0
1,0,0,4,0,109,2018,11,8,0,0,0,216.0,1,10563,0,4,3,0
2,0,1,5,0,94,2018,3,28,0,0,0,110.75,1,10564,1,0,3,1
2,0,0,3,0,326,2018,11,24,0,0,0,67.5,2,10565,3,0,4,0
2,2,0,2,0,33,2018,3,18,0,0,0,162.45,1,10566,0,5,4,1
2,0,2,2,0,3,2018,3,27,0,0,0,55.0,0,10567,0,0,3,1
2,0,2,4,0,140,2018,3,26,0,0,0,113.5,1,10568,0,3,4,1
1,0,0,1,0,16,2018,6,16,1,0,1,95.0,0,10569,0,0,2,1
2,0,0,3,0,6,2018,2,25,0,0,0,62.0,1,10570,0,0,3,1
3,0,1,0,0,103,2018,10,9,0,0,0,151.2,0,10571,0,3,4,0
1,0,1,3,0,191,2018,6,23,0,0,0,95.0,0,10572,0,0,3,1
2,0,0,3,0,100,2018,4,12,0,0,0,62.86,0,10573,0,0,4,1
2,0,1,3,0,322,2018,5,19,0,0,0,80.0,0,10574,0,0,3,0
2,0,1,2,0,161,2018,3,25,0,0,0,130.0,0,10575,1,1,3,0
2,0,0,1,0,0,2017,8,7,0,0,0,98.0,0,10576,0,0,4,0
2,0,0,2,0,28,2018,5,20,0,0,0,156.0,0,10577,0,3,4,0
2,0,2,0,0,2,2018,10,30,1,1,5,0.0,4,10578,0,0,1,1
2,0,0,3,0,36,2018,1,27,0,0,0,88.63,1,10579,0,3,4,1
2,0,2,0,0,75,2018,4,17,0,0,0,90.0,0,10580,3,0,4,1
2,2,2,3,0,12,2018,2,14,0,0,0,230.0,0,10581,1,5,4,0
2,0,1,2,0,115,2018,8,5,0,0,0,120.3,0,10582,0,0,4,0
2,0,1,1,0,44,2018,6,18,0,0,0,96.3,0,10583,0,3,3,1
2,0,0,3,0,42,2018,2,3,0,0,0,80.3,1,10584,0,0,4,1
2,0,0,3,0,49,2018,9,6,0,0,0,89.91,0,10585,3,0,4,0
1,0,3,7,0,11,2018,11,18,0,0,0,76.93,1,10586,0,0,4,0
1,0,1,0,0,10,2017,10,19,0,0,0,129.0,1,10587,0,0,4,1
1,2,1,4,0,88,2018,5,16,0,0,0,187.85,1,10588,0,5,4,0
1,0,0,5,0,18,2018,1,26,0,0,0,75.0,0,10589,0,0,4,1
2,0,1,3,0,66,2018,6,9,0,0,0,126.9,1,10590,0,0,4,1
2,0,1,2,0,19,2018,5,2,0,0,0,130.0,0,10591,0,0,4,1
3,0,0,1,0,12,2018,12,10,0,0,0,161.0,0,10592,0,3,4,1
2,0,1,3,1,47,2018,2,29,0,0,0,99.4,1,10593,0,3,4,1
2,0,1,1,0,301,2018,7,30,0,0,0,115.0,1,10594,1,0,3,0
3,0,1,2,0,77,2018,9,2,0,0,0,168.3,2,10595,0,3,4,1
2,0,2,0,0,117,2018,11,13,0,0,0,79.2,0,10596,3,0,4,1
2,0,2,2,0,18,2017,10,2,0,0,0,111.75,2,10597,0,0,4,1
2,0,1,1,0,7,2018,7,16,0,0,0,139.0,0,10598,3,0,4,1
2,0,0,4,0,259,2018,12,7,0,0,0,73.95,1,10599,0,0,4,1
3,0,2,1,0,73,2018,4,30,0,0,0,159.3,1,10600,0,3,4,0
2,0,0,1,0,4,2018,2,13,0,0,0,90.0,0,10601,3,0,4,1
2,0,1,0,0,6,2017,9,20,0,0,0,114.0,1,10602,3,0,4,1
2,0,1,3,0,287,2018,9,29,0,0,0,100.3,0,10603,0,0,4,0
3,0,0,4,0,128,2018,9,6,0,0,0,162.0,2,10604,0,3,4,1
2,0,2,5,0,11,2018,6,16,0,0,0,156.0,1,10605,0,3,4,1
2,0,1,4,0,27,2017,12,9,0,0,0,69.0,0,10606,0,0,4,1
2,0,1,0,0,258,2018,10,16,0,0,0,110.0,0,10607,0,0,3,0
2,0,0,4,0,35,2018,11,16,0,0,0,88.4,1,10608,0,0,4,1
2,0,2,1,0,224,2018,7,24,0,0,0,86.62,0,10609,0,1,4,0
2,0,2,3,0,54,2018,8,28,0,0,0,144.0,0,10610,1,0,4,1
3,0,0,1,0,19,2018,7,20,0,0,0,146.0,2,10611,0,3,4,1
2,0,0,3,0,1,2018,11,22,0,0,0,100.0,1,10612,3,3,4,1
1,0,1,3,0,6,2017,9,21,0,0,0,114.0,1,10613,0,0,4,1
2,0,1,3,0,60,2018,4,11,0,0,0,71.6,0,10614,0,0,4,1
1,0,0,3,0,335,2018,10,13,0,0,0,80.0,0,10615,0,0,3,1
2,0,0,2,0,265,2018,6,24,0,0,0,115.0,1,10616,1,0,3,0
2,0,0,2,0,2,2018,11,24,0,0,0,108.9,0,10617,0,3,4,0
2,0,0,2,0,112,2018,6,2,0,0,0,100.0,0,10618,0,0,3,1
1,0,0,1,1,2,2018,6,16,1,1,15,67.0,1,10619,0,0,2,1
2,0,0,3,0,31,2018,10,27,0,0,0,129.0,2,10620,0,0,4,1
2,0,1,3,0,66,2018,11,7,0,0,0,179.1,2,10621,0,0,4,1
1,0,1,2,0,91,2018,9,30,0,0,0,75.0,0,10622,0,0,3,1
2,0,2,1,0,67,2018,3,26,0,0,0,76.16,1,10623,0,0,3,1
2,0,1,2,0,150,2018,10,28,0,0,0,76.36,1,10624,0,3,4,1
2,0,0,2,0,15,2018,10,21,0,0,0,140.0,2,10625,3,0,4,1
2,0,1,3,0,64,2018,11,3,0,0,0,106.2,1,10626,0,3,4,0
2,0,1,3,0,46,2018,3,21,0,0,0,85.0,0,10627,0,0,3,1
2,0,2,2,0,139,2018,7,31,0,0,0,114.33,0,10628,0,3,4,0
2,0,2,1,0,87,2017,8,9,0,0,0,76.5,2,10629,0,0,4,1
2,0,0,2,0,265,2018,6,24,0,0,0,115.0,1,10630,1,0,3,0
2,0,2,2,0,127,2018,9,18,0,0,0,143.1,1,10631,0,3,4,1
1,0,0,2,0,42,2018,11,4,0,0,0,67.5,0,10632,0,0,3,1
2,0,0,2,0,320,2018,8,18,0,0,0,115.0,1,10633,1,0,3,0
2,0,2,1,0,19,2017,12,5,0,0,0,69.0,2,10634,0,0,4,1
1,0,1,2,0,219,2017,9,4,0,0,0,76.67,0,10635,0,0,3,1
2,0,0,1,0,20,2018,3,8,0,0,0,93.0,0,10636,0,0,4,1
2,0,0,3,0,151,2018,6,2,0,0,0,95.4,0,10637,3,0,4,0
2,0,0,2,0,257,2017,7,1,0,0,0,101.5,0,10638,1,0,3,0
2,1,0,2,0,135,2018,7,5,0,0,0,126.0,1,10639,0,0,4,1
2,0,1,2,0,15,2018,11,7,0,0,0,200.0,2,10640,0,0,4,1
2,2,0,1,1,140,2018,7,8,0,0,0,195.3,2,10641,0,5,4,1
2,0,1,2,0,67,2018,12,2,0,0,0,75.0,0,10642,0,0,3,1
2,0,1,1,0,174,2017,10,10,0,0,0,70.0,0,10643,0,0,3,0
2,1,0,5,0,181,2018,8,23,0,0,0,162.15,2,10644,1,0,4,0
2,0,1,2,0,198,2018,9,9,0,0,0,90.0,0,10645,0,0,3,0
2,0,1,3,0,12,2017,10,12,0,0,0,100.0,0,10646,0,0,2,1
2,0,0,1,0,5,2018,12,10,0,0,0,88.8,0,10647,0,0,4,1
1,0,1,2,0,180,2018,10,10,0,0,0,120.0,0,10648,0,0,3,0
2,0,2,1,0,49,2018,2,20,0,0,0,67.5,0,10649,3,0,4,0
2,2,2,2,0,86,2018,5,15,0,0,0,187.85,1,10650,0,5,4,1
2,0,2,0,0,100,2018,7,3,0,0,0,114.3,0,10651,0,0,4,0
2,0,1,2,0,117,2018,2,29,0,0,0,86.33,0,10652,0,0,3,1
2,1,2,2,1,15,2018,3,20,0,0,0,160.0,1,10653,0,0,4,1
3,0,0,1,0,15,2018,12,27,0,0,0,90.0,2,10654,0,0,3,1
2,0,2,2,0,110,2018,10,9,0,0,0,130.0,2,10655,0,0,3,0
2,0,2,2,0,30,2018,9,25,0,0,0,92.25,1,10656,0,3,4,1
2,0,1,2,0,168,2018,4,22,0,0,0,85.0,0,10657,0,0,3,0
1,0,1,1,0,85,2018,12,3,0,0,0,98.0,0,10658,0,0,4,1
2,0,0,2,0,63,2017,9,4,0,0,0,116.0,0,10659,1,0,3,1
2,0,0,2,0,70,2018,6,3,0,0,0,100.0,0,10660,0,0,3,1
2,0,0,3,0,58,2018,10,20,0,0,0,139.5,1,10661,0,3,4,0
1,0,1,2,0,0,2017,9,7,0,0,0,65.0,0,10662,0,0,2,1
2,0,1,3,0,115,2018,5,2,0,0,0,90.95,0,10663,0,3,3,1
2,0,0,3,0,304,2018,11,3,0,0,0,89.0,0,10664,0,0,3,0
2,1,2,2,0,42,2018,12,31,0,0,0,102.0,1,10665,0,0,4,1
2,0,2,4,0,135,2018,9,8,0,0,0,80.75,0,10666,0,0,3,1
2,0,0,2,0,39,2017,8,14,0,0,0,101.5,0,10667,1,0,3,1
2,0,2,1,0,74,2018,10,9,0,0,0,118.8,0,10668,0,0,4,0
3,0,2,0,1,42,2018,6,26,0,0,0,141.3,1,10669,0,3,4,1
2,2,1,2,0,9,2018,6,10,0,0,0,221.0,0,10670,0,5,4,0
2,0,2,7,0,42,2017,9,8,0,0,0,79.64,0,10671,1,0,3,1
2,0,0,1,0,26,2018,6,8,0,0,0,120.0,0,10672,0,0,3,1
2,0,1,2,0,81,2018,3,25,0,0,0,65.0,1,10673,0,0,3,1
2,0,2,2,0,11,2017,10,23,0,0,0,88.5,0,10674,0,0,3,1
2,0,1,2,0,418,2018,9,26,0,0,0,107.0,0,10675,1,0,3,0
2,0,2,3,0,276,2018,5,13,0,0,0,61.0,0,10676,0,0,3,0
2,0,2,3,0,47,2018,10,2,0,0,0,79.0,2,10677,3,0,4,1
2,0,0,3,0,304,2018,11,3,0,0,0,89.0,0,10678,0,0,3,0
2,0,2,1,0,124,2017,8,8,0,0,0,94.5,0,10679,1,0,3,0
2,0,1,2,0,22,2018,2,26,0,0,0,72.64,1,10680,0,0,4,1
2,0,2,1,0,28,2017,9,12,0,0,0,117.0,1,10681,0,0,4,0
2,0,2,2,0,208,2018,6,11,0,0,0,80.24,2,10682,0,0,3,1
2,0,0,2,1,58,2018,12,9,0,0,0,102.6,1,10683,0,0,4,1
1,0,1,0,0,7,2018,5,16,0,0,0,78.8,0,10684,3,0,4,1
2,0,0,2,0,10,2018,9,30,0,0,0,204.0,2,10685,0,3,4,1
2,0,0,2,0,1,2018,2,12,1,11,22,79.0,1,10686,3,0,4,1
3,0,0,1,0,76,2018,10,22,0,0,0,151.2,1,10687,0,3,4,0
1,0,1,2,0,101,2018,4,4,0,0,0,70.0,0,10688,0,0,3,0
2,0,1,2,0,64,2018,4,29,0,0,0,116.1,2,10689,3,0,4,1
1,0,0,1,0,8,2017,12,9,0,0,0,79.0,0,10690,0,0,2,1
2,0,2,2,0,69,2018,4,23,0,0,0,107.95,0,10691,0,3,4,1
2,0,0,5,0,13,2017,10,20,0,0,0,99.95,1,10692,0,0,4,1
2,0,2,1,0,5,2017,12,5,0,0,0,62.8,0,10693,0,0,3,1
2,0,1,3,0,222,2018,12,29,0,0,0,83.1,1,10694,0,0,4,1
2,0,1,5,0,94,2018,3,28,0,0,0,110.75,1,10695,1,0,3,1
1,0,1,3,0,5,2018,4,4,0,0,0,95.0,0,10696,0,0,0,1
2,0,1,3,0,60,2017,10,12,0,0,0,65.0,1,10697,0,0,3,1
2,0,1,2,0,60,2018,4,1,0,0,0,92.7,1,10698,0,0,4,0
3,0,0,2,1,183,2018,7,26,0,0,0,137.7,1,10699,0,3,4,0
2,0,0,3,0,217,2018,8,3,0,0,0,86.63,0,10700,0,1,4,0
2,0,1,2,0,96,2018,4,29,0,0,0,126.9,1,10701,0,0,4,0
2,1,2,0,0,12,2018,2,7,0,0,0,111.0,2,10702,0,0,4,1
3,0,0,3,0,68,2018,7,7,0,0,0,149.1,0,10703,0,3,4,0
1,0,1,2,0,0,2017,9,7,0,0,0,96.27,1,10704,0,0,4,1
2,1,2,5,0,4,2018,11,19,0,0,0,99.51,2,10705,0,0,4,1
2,0,0,3,0,183,2018,9,8,0,0,0,110.0,1,10706,0,0,3,0
2,0,0,2,0,24,2018,1,6,0,0,0,89.0,0,10707,0,0,4,1
2,0,0,3,0,258,2018,9,15,0,0,0,106.2,0,10708,0,0,4,0
3,1,2,1,0,24,2018,5,21,0,0,0,285.17,0,10709,0,6,4,0
1,0,0,2,0,16,2018,3,8,0,0,0,6.0,0,10710,0,3,1,1
2,0,2,2,0,95,2018,4,17,0,0,0,86.7,3,10711,0,0,4,1
2,0,0,5,0,142,2018,7,5,0,0,0,119.0,2,10712,0,3,4,1
2,0,0,4,0,27,2018,12,6,0,0,0,74.8,1,10713,3,0,4,1
2,0,1,2,0,102,2018,11,7,0,0,0,59.5,0,10714,3,0,3,0
1,0,1,1,0,6,2018,5,23,0,0,0,97.02,2,10715,0,0,4,1
2,2,1,5,0,78,2018,3,21,0,0,0,154.7,0,10716,0,5,4,1
2,0,0,3,0,109,2018,10,25,0,0,0,66.49,1,10717,0,0,4,1
2,0,0,1,0,9,2018,2,17,0,0,0,81.0,1,10718,3,0,4,1
3,0,1,3,0,18,2018,12,12,0,0,0,130.9,0,10719,0,3,4,1
2,0,1,0,0,0,2018,7,24,0,0,0,131.0,0,10720,0,0,4,1
2,0,0,4,0,9,2018,5,10,0,0,0,148.5,1,10721,0,3,4,1
2,0,0,2,0,275,2018,11,3,0,0,0,77.62,1,10722,0,0,4,0
2,0,1,2,0,110,2018,7,8,0,0,0,114.3,1,10723,0,0,4,1
2,0,0,1,0,29,2018,8,20,0,0,0,151.0,0,10724,0,0,4,1
2,0,0,2,0,8,2018,4,26,0,0,0,119.0,1,10725,3,0,4,1
3,0,2,2,0,122,2018,7,30,0,0,0,142.2,0,10726,0,3,4,0
1,0,1,2,0,38,2018,3,18,0,0,0,131.4,0,10727,0,3,4,0
2,0,0,4,0,215,2018,9,28,0,0,0,115.6,0,10728,0,0,4,0
2,0,2,2,0,18,2018,12,2,0,0,0,76.29,0,10729,3,0,4,1
1,0,1,0,0,19,2018,11,14,0,0,0,65.0,0,10730,0,0,2,1
1,0,1,1,0,7,2018,6,13,0,0,0,95.0,1,10731,0,0,4,1
1,0,1,2,0,0,2017,9,21,0,0,0,75.0,0,10732,0,3,3,1
2,0,2,5,0,59,2018,3,18,0,0,0,59.5,0,10733,0,0,3,1
1,0,0,2,0,192,2018,6,24,0,0,0,95.0,0,10734,0,0,3,1
2,0,0,2,0,1,2017,9,30,1,1,0,102.6,0,10735,0,0,3,1
2,0,0,1,0,40,2018,7,26,0,0,0,125.0,1,10736,1,0,3,1
2,0,0,2,0,317,2018,9,15,0,0,0,120.0,0,10737,0,0,3,0
2,0,0,4,0,24,2018,12,13,0,0,0,68.07,0,10738,0,0,4,1
2,2,1,1,0,0,2018,4,16,0,0,0,190.0,0,10739,0,5,4,1
2,0,1,1,0,44,2018,6,18,0,0,0,96.3,0,10740,0,3,3,1
2,0,1,1,0,144,2018,7,23,0,0,0,105.3,1,10741,0,0,4,1
2,0,2,2,0,43,2018,11,19,0,0,0,68.0,0,10742,0,0,3,1
1,0,1,2,0,180,2018,10,10,0,0,0,120.0,1,10743,0,0,3,0
2,2,0,4,0,26,2018,9,27,0,0,0,226.5,0,10744,0,5,4,0
1,0,0,1,0,1,2018,9,22,0,0,0,210.0,1,10745,0,3,4,1
3,0,1,1,0,173,2018,8,22,0,0,0,96.9,0,10746,0,0,3,1
2,0,1,3,0,88,2018,2,29,0,0,0,56.94,0,10747,0,0,4,0
2,0,0,3,0,22,2018,12,29,0,0,0,148.0,1,10748,0,3,4,1
2,0,0,3,0,116,2018,7,6,0,0,0,116.95,1,10749,0,0,4,1
1,0,1,0,0,4,2018,10,10,0,0,0,110.0,0,10750,0,3,0,1
3,0,0,2,0,65,2018,7,28,0,0,0,123.93,0,10751,0,3,4,0
2,0,1,1,0,0,2018,10,29,0,0,0,140.0,2,10752,3,0,4,1
2,2,0,3,0,26,2018,5,19,0,0,0,221.0,0,10753,0,5,4,0
1,0,0,1,0,8,2018,5,25,0,0,0,106.25,1,10754,0,0,4,1
2,0,0,3,0,41,2017,10,6,0,0,0,98.67,2,10755,0,0,4,1
3,0,0,3,0,7,2018,3,23,0,0,0,173.0,0,10756,0,3,4,1
2,0,0,3,0,44,2017,11,11,0,0,0,60.0,1,10757,0,3,3,1
2,0,2,1,0,221,2017,10,17,0,0,0,65.0,0,10758,0,0,3,1
2,0,2,1,0,331,2018,12,31,0,0,0,75.9,0,10759,3,0,4,0
2,1,0,1,0,0,2018,2,18,0,0,0,109.0,0,10760,0,0,4,1
2,0,0,2,0,163,2018,12,2,0,0,0,79.2,0,10761,3,0,4,0
2,0,0,2,0,68,2018,4,26,0,0,0,118.8,1,10762,0,3,4,1
2,0,0,3,0,2,2018,12,14,1,0,1,86.0,1,10763,0,0,2,1
2,0,0,4,0,253,2018,5,4,0,0,0,90.0,0,10764,0,0,3,0
1,0,0,1,0,3,2017,10,1,0,0,0,120.0,0,10765,0,0,4,1
2,0,0,1,0,24,2017,11,5,0,0,0,0.0,1,10766,0,0,1,1
2,0,1,3,0,24,2018,4,11,0,0,0,108.5,0,10767,0,0,4,0
2,0,2,3,0,23,2017,9,6,0,0,0,118.8,0,10768,0,0,4,1
2,0,2,1,0,183,2018,10,29,0,0,0,80.1,2,10769,3,0,4,0
2,0,1,0,0,13,2018,3,20,0,0,0,85.0,1,10770,0,0,3,1
1,0,1,0,0,1,2018,2,1,0,0,0,66.22,1,10771,0,0,4,1
3,0,0,4,0,56,2018,11,22,0,0,0,119.0,2,10772,0,3,4,1
3,0,1,2,0,31,2018,2,22,0,0,0,102.9,1,10773,0,3,3,1
2,1,2,1,0,23,2018,4,9,0,0,0,93.82,2,10774,3,0,4,1
1,0,1,1,0,114,2018,5,2,0,0,0,99.9,0,10775,0,0,4,0
2,0,2,1,0,19,2017,12,5,1,1,0,69.0,0,10776,0,0,4,1
2,0,2,2,0,37,2018,5,21,0,0,0,126.9,0,10777,0,0,4,0
1,0,0,1,0,10,2018,2,4,1,0,1,66.0,0,10778,0,0,2,1
2,0,1,0,0,1,2017,9,13,0,0,0,114.0,0,10779,3,0,4,1
1,0,0,3,0,134,2018,6,30,0,0,0,90.9,0,10780,0,0,4,0
2,0,1,4,0,64,2018,3,9,0,0,0,73.95,1,10781,0,0,4,0
1,0,1,2,0,11,2018,12,19,0,0,0,86.0,0,10782,0,0,4,1
2,0,1,2,0,5,2018,11,4,0,0,0,133.33,2,10783,3,0,4,1
2,0,0,4,0,178,2018,10,26,0,0,0,90.9,2,10784,0,0,4,1
2,0,1,0,0,44,2018,10,16,0,0,0,89.1,2,10785,3,0,4,1
2,0,0,2,0,0,2018,8,19,0,0,0,148.0,1,10786,3,0,4,1
2,1,1,1,0,77,2018,4,25,0,0,0,112.5,2,10787,0,0,4,1
2,0,2,1,0,92,2018,3,26,0,0,0,100.0,0,10788,0,0,3,0
2,0,2,5,0,53,2018,12,17,0,0,0,74.8,2,10789,3,0,4,1
2,0,1,2,0,46,2018,11,11,0,0,0,75.0,0,10790,0,0,3,1
1,0,1,0,0,111,2018,10,10,0,0,0,120.0,0,10791,0,4,3,0
2,0,0,1,0,42,2017,9,24,0,0,0,85.0,1,10792,0,0,3,1
1,0,1,2,0,114,2018,7,1,0,0,0,75.0,0,10793,0,0,3,0
2,0,0,3,0,28,2018,10,20,0,0,0,85.0,0,10794,0,0,3,1
2,0,0,4,0,22,2017,10,6,0,0,0,115.0,2,10795,0,0,4,1
3,0,0,1,0,51,2018,7,15,0,0,0,137.7,1,10796,0,3,4,1
2,0,0,3,0,34,2017,9,23,0,0,0,224.67,0,10797,1,0,3,0
2,0,1,3,0,94,2018,11,3,0,0,0,79.2,1,10798,3,0,4,1
2,0,2,1,0,40,2018,8,28,0,0,0,112.5,1,10799,0,0,4,1
2,0,1,5,0,85,2018,3,28,0,0,0,72.25,1,10800,3,0,4,1
2,2,1,2,1,4,2017,8,14,0,0,0,162.0,3,10801,3,5,4,1
3,0,0,3,0,46,2018,9,20,0,0,0,243.9,1,10802,0,6,4,0
2,0,2,1,0,24,2017,12,5,0,0,0,50.0,0,10803,0,0,2,1
1,0,1,1,0,7,2017,10,5,0,0,0,114.0,1,10804,3,0,4,1
2,0,0,2,0,74,2017,9,18,0,0,0,109.0,0,10805,1,0,3,1
2,0,2,2,0,2,2018,5,15,0,0,0,81.75,0,10806,0,0,3,1
3,0,0,1,0,36,2018,7,15,0,0,0,168.3,1,10807,0,3,4,1
1,0,0,2,0,8,2018,3,1,0,0,0,56.0,0,10808,0,0,3,1
2,0,0,3,0,304,2018,11,3,0,0,0,89.0,0,10809,0,0,3,0
1,0,2,2,0,5,2017,9,26,0,0,0,206.0,1,10810,0,0,4,1
2,0,1,1,0,78,2018,7,18,0,0,0,105.3,0,10811,0,0,4,0
2,0,0,2,0,6,2017,12,3,0,0,0,55.0,0,10812,0,0,3,1
